Day, Time, Sender Region, Receiver Region, Provider, Processor, Low ABW, High ABW
Tue,14:58:18,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,428,857
Tue,15:03:25,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,750
Tue,15:08:41,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,600,631
Tue,15:13:59,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,571,857
Tue,15:19:04,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Tue,15:24:37,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,750
Tue,15:29:52,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,545,750
Tue,15:35:46,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,600,631
Tue,15:51:42,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,545,600
Tue,16:02:13,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,705
Tue,16:07:29,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,521,666
Tue,16:18:10,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,705
Tue,16:23:32,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,750
Tue,16:28:48,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,857
Tue,16:39:18,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,750,750
Tue,16:44:35,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,705
Tue,16:55:07,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,705
Tue,17:05:44,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,750
Tue,17:26:42,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Tue,17:32:00,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,571,598
Tue,17:42:34,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,750
Tue,17:47:52,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Tue,22:21:15,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,592,592
Tue,22:26:39,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,750
Tue,22:31:55,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,521,631
Tue,22:42:12,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,705
Tue,22:47:31,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,428,857
Tue,22:52:38,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,571,585
Tue,22:58:16,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,750
Tue,23:03:32,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,750
Tue,23:08:47,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,750
Tue,23:14:02,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,705
Tue,23:19:17,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,705
Tue,23:24:36,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,490,666
Tue,23:30:11,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Tue,23:35:30,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,705
Tue,23:40:48,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,545,666
Tue,23:46:05,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
